,name,review_anger,review_fear,review_joy,review_sadness,review_analytical,review_confident,review_tentative,review_title_anger,review_title_fear,review_title_joy,review_title_sadness,review_title_analytical,review_title_confident,review_title_tentative
28,Anglers Inn,0.0,0.0,0.7387100599999998,0.6135575,0.652356705882353,0.8439282727272727,0.782317076923077,0.0,0.0,0.7503707058823529,0.6161139999999999,0.920855,0.961633,0.9593626000000001
29,Arion,0.0,0.0,0.7847336363636365,0.526057,0.7034214000000001,0.8476028333333333,0.501877,0.0,0.0,0.69530025,0.0,0.8822840000000001,0.8492935000000001,0.0
30,Arizona Inn of Prescott Valley,0.634339,0.605183,0.7151155227272727,0.5959507692307693,0.7202361739130435,0.8511055416666666,0.8363162173913045,0.642169,0.0,0.7219536956521739,0.6350680000000001,0.794046,0.8743719999999999,0.8752897999999998
31,Arrowhead Motel and Rv Park,0.0,0.0,0.6551080999999999,0.0,0.5198576666666667,0.8605753333333334,0.6589696666666667,0.0,0.0,0.8043264999999999,0.0,0.0,0.0,0.0
32,Aspen Haus Bed and Breakfast,0.0,0.0,0.7329892500000001,0.533412,0.6953777999999999,0.7161288888888888,0.7365706000000001,0.0,0.0,0.717044375,0.0,0.762356,0.0,0.615352
33,Astro Motel,0.0,0.0,0.0,0.0,0.0,0.0,0.776674,0.0,0.0,0.0,0.0,0.0,0.97759,0.0
34,Atlanta Marriott Northwest At Galleria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Atlantic House,0.0,0.0,0.744382625,0.6189330000000001,0.647278,0.8272634999999999,0.7194781666666666,0.0,0.0,0.7266167499999998,0.0,0.920855,0.961633,0.0
36,Avalon Hotel Group,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Azul Beach Hotel By Karisma Gourmet Inclusive,0.0,0.0,0.7959305833333333,0.515428,0.68677275,0.7487214000000001,0.7377625000000001,0.0,0.0,0.7677308750000001,0.0,0.0,0.9233804999999999,0.0
38,Bailey Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Barber Joyce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
